Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231205205326_1160,20231205205326_1160,,,dtlz5,5,5,2,,,0.5,30,70,0.05249100726524645,0.0433778653149745,0.013601048113462917,83.53890323638916
20231213225250_wdpov,20231213225250_wdpov,2023-12-13 22:52:55,False,dtlz7,3,3,4,1,rate with one time change when fails,0.5,15,50,0.7230237026087313,10.254536621890063,0.34094456579038257,63.80880355834961
20231213173625_yjp4p,20231213173625_yjp4p,2023-12-13 17:36:28,True,dtlz1,2,3,0,0,rate with continuous change when fails,0.8,11,250,0.019100600855598417,0.003225078482882149,0.22712063980563232,976.433718919754
20231213235510_y1sv4,20231213235510_y1sv4,2023-12-13 23:55:13,True,dtlz2,3,5,4,1,rate with one time change when fails,0.4,15,250,0.12699122209984554,0.05299714159259012,0.6270080792574415,1264.7339022159576
20231213163112_2n9j2,20231213163112_2n9j2,2023-12-13 16:31:15,True,dtlz1,2,3,0,0,rate with one time change when fails,0.6,11,250,0.01290906867384605,0.0024299626050808196,0.22978601337907828,999.2577292919159
20231213222431_tqt0j,20231213222431_tqt0j,2023-12-13 22:24:34,True,dtlz1,2,3,4,0,rate with one time change when fails,0.4,11,250,0.010072521700586961,0.0030063994387395654,0.23077594610166247,802.6078650951385
20231213000724_1800,20231213000724_1800,2023-12-13 00:07:27,True,dtlz7,3,3,0,0,rate with one time change when fails,0.5,15,50,0.3301177615158218,0.07368005609753134,0.6188021840176945,93.16044402122498
20231130120556,20231130120556,,,dtlz1,2,3,0,,,,,250,0.00833087128239413,0.002319556070956814,0.23151689285318053,889.008113861084
20231206025040_27071,20231206025040_27071,,,dtlz4,2,2,3,,,0.5,11,250,0.016516179097813343,0.004098705435695574,0.4048766130736179,1236.8117163181305
20231213132407_swds6,20231213132407_swds6,2023-12-13 13:24:09,True,dtlz1,2,2,4,1,rate with continuous change when fails,0.6,11,250,0.014142013768906326,0.012143366890375479,0.22895552198974112,1111.520825624466
20231205172009_16528,20231205172009_16528,,,dtlz3,3,3,2,,,0.5,15,50,1.536724172241956,32.487243068231535,0.0,113.46200466156006
20231206052449_26813,20231206052449_26813,,,dtlz5,3,3,2,,,0.5,15,250,0.021250472457878547,0.004509733096596325,0.14430212114387558,1130.676637172699
20231206031125_18532,20231206031125_18532,,,dtlz4,2,2,2,,,0.5,11,250,0.012025103628396785,0.0046529249199006315,0.4083869934586267,1397.0891642570496
20231203194817_22961,20231203194817_22961,,,dtlz7,3,5,2,,,0.75,15,300,0.43424832398625707,0.005858508993976781,0.5197364032850698,2162.729735136032
20231130205629_8127,20231130205629_8127,,,dtlz7,3,5,0,,,,,250,0.40549045402614226,0.008540182669804905,0.6757488198504403,2120.1403794288635
20231205171325_9889,20231205171325_9889,,,dtlz6,2,2,2,,,0.5,11,50,0.32525513075925516,0.3125132755062103,0.0,118.40687775611877
20231206120910_20734,20231206120910_20734,,,dtlz7,3,3,3,,,0.5,15,250,0.3652584429304549,0.005816914404668582,0.750348442384885,1832.9159698486328
20231130144039,20231130144039,,,dtlz1,3,2,0,,,,,250,0.03462218458227973,0.013772230810621098,0.1903411936011372,783.679502248764
20231214010618_26197,20231214010618_26197,2023-12-14 01:06:20,True,dtlz7,3,3,0,0,rate with one time change when fails,0.5,15,50,0.41974688788689096,0.026525218772452466,0.5398734600363606,103.54799938201904
20231201001306_13614,20231201001306_13614,,,dtlz7,3,5,1,,,,,250,0.6999760540330098,0.15584485415357233,0.40110478169571784,380.6444275379181
20231213204057_3ko2u,20231213204057_3ko2u,2023-12-13 20:41:00,True,dtlz1,2,3,0,1,rate with one time change when fails,0.8,11,250,0.011666761801032084,0.0029659126720045785,0.22987848488839038,1113.6373345851898
20231212131433_11936,20231212131433_11936,2023-12-12 13:14:36,True,dtlz7,3,3,4,0,no change,0.5,15,50,0.41350783422796833,2.8430328239403004,0.47964937640249206,103.28603720664978
20231213172015_vhxlh,20231213172015_vhxlh,2023-12-13 17:20:18,True,dtlz1,2,3,0,0,rate with one time change when fails,0.8,11,250,0.03896867569836018,0.0021543078268615543,0.22049419906600254,961.4933383464813
20231205172524_745,20231205172524_745,,,dtlz6,3,3,2,,,0.5,15,50,0.7151086488632952,0.740994093217481,0.0,98.36483764648438
20231213220802_bkyne,20231213220802_bkyne,2023-12-13 22:08:05,True,dtlz1,2,3,4,0,continuous change when fails,0.2,11,250,0.17413705456521456,0.005928092240768151,0.16885507465538552,980.63121342659
20231206173454_3096,20231206173454_3096,,,dtlz7,3,3,3,,,0.6,15,300,0.12367204934565092,0.011056975883147697,0.9667527640338731,1271.7633082866669
20231213070858_skfi7,20231213070858_skfi7,2023-12-13 07:09:01,True,dtlz1,2,2,0,1,rate with continuous change when fails,0.8,11,250,0.006690036138360337,0.002112333541091811,0.23226880623018575,991.5904457569122
20231130115148,20231130115148,,,dtlz1,2,2,2,,,,,250,0.006690922141550308,0.001842620892051896,0.23236422777313337,839.3942909240723
20231201171408_11607,20231201171408_11607,,,dtlz7,3,3,2,,,,15,300,0.09589047168654571,0.021740914583395044,1.0657232441710591,1432.931334733963
20231213120610_1kwao,20231213120610_1kwao,2023-12-13 12:06:13,True,dtlz1,2,2,4,1,rate with one time change when fails,0.4,11,250,0.014620545850303172,0.002251251747629038,0.22924834637311922,1212.0891947746277
20231213185537_ce56r,20231213185537_ce56r,2023-12-13 18:55:41,True,dtlz1,2,3,0,1,rate with one time change when fails,0.4,11,250,0.009081736028696875,0.002310628508717756,0.23135576406180094,1124.536220550537
20231214012335_sw06v,20231214012335_sw06v,2023-12-14 01:23:37,True,dtlz7,3,3,4,0,rate with one time change when fails,0.5,15,50,0.24203186521061254,0.2798214727289239,0.5959977303455022,79.11889147758484
20231206011048_21537,20231206011048_21537,,,dtlz2,3,3,2,,,0.5,15,250,0.09101930370070903,0.04446698207440011,0.690197821174909,1288.700844526291
20231213115050_xe0z1,20231213115050_xe0z1,2023-12-13 11:50:52,True,dtlz1,2,2,4,1,continuous change when fails,0.2,11,250,0.17990337861056946,0.0025130557528971025,0.16915853455101962,911.5851910114288
20231214003546_him9u,20231214003546_him9u,2023-12-14 00:35:49,True,dtlz7,3,3,0,0,rate with one time change when fails,0.5,15,50,0.44539117093979996,0.09134004977952549,0.45814025385079005,85.52608561515808
20231214135438_keor2,20231214135438_keor2,2023-12-14 13:54:40,False,dtlz7,3,3,4,"0 (['local', 'global'])",rate with one time change when fails,0.8,15,250,0.4822487359612857,0.03817057776874022,0.4271640481199662,1062.5235953330994
20231213023730_zggmj,20231213023730_zggmj,2023-12-13 02:37:32,True,dtlz1,2,2,0,0,rate with continuous change when fails,0.4,11,250,0.011629315762847783,0.002064681552622218,0.23037714590625308,933.050909280777
